Product Name,Category/Content Type,Picture,Source Language,German (Germany),Spanish (Spain,French (France),Italian (Italy),Japanese (Japan),,,,,,,,,,,
"SL500
AFA",website and  AMZ listing,,Capture the Glory,Triumphe festhalten,Captura la gloria,Capturez la gloire,Cattura ogni istante di gloria,栄光をつかむ,,,,,,,,,,,
,,,Lexar® SL500 Portable SSD,Lexar® SL500 Tragbare SSD,SSD portátil Lexar® SL500,SSD portable Lexar® SL500,SSD Portatile Lexar® SL500,Lexar® SL500ポータブルSSD,,,,,,,,,,,
,,,Elite Legends Series,Elite Legends-Serie,Serie Elite Legends,Série Elite Legends,Serie Elite Legends,Elite Legendsシリーズ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Built for Champions,Für Champions gemacht,Diseñado para los campeones,Conçue pour les champions,Creata per i campioni,チャンピオンのために設計,,,,,,,,,,,
,,,"Lexar Elite Legends Series is engineered to reflect the Argentine Football Association’s elite standards, honoring their legendary championship journey.","Die Lexar Elite Legends Series wurde passend zu den Elite-Standards des argentinischen Fußballverbandes entwickelt, um ihren legendären Weg zur Meisterschaft zu würdigen.","La serie Elite Legends de Lexar está diseñada para reflejar los estándares de excelencia de la Asociación del Fútbol Argentino, rindiendo homenaje su legendaria historia.","La série Lexar Elite Legends est conçue pour refléter les normes d'élite de la fédération de football d'Argentine, en hommage à leur légendaire parcours au plus haut niveau.","La Serie Lexar Elite Legends è progettata per riflettere gli standard d'eccellenza dell'Associazione del Calcio Argentino, rendendo omaggio allo storico percorso di questi campioni.",Lexar Elite Legendsシリーズは、アルゼンチンサッカー協会のエリート基準を反映して設計されており、その伝説的なチャンピオンシップの軌跡に敬意を表しています。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Designed for the Legendary,Für Legenden entwickelt,Diseñado para las leyendas,Conçue pour la légende,Progettata per le leggende,伝説を体現するデザイン,,,,,,,,,,,
,,,"Argentine Football Association Design, inspired by Argentina’s iconic blue and white stripes and the legendary Number 10. ",Das Design wurde vom argentinischen Fußballverband und den legendären blau-weißen Streifen und der legendären Nummer 10 inspiriert.,Diseño de la Asociación del Fútbol Argentino inspirado en las icónicas rayas azules y blancas de Argentina y el legendario número 10.,"Design de la fédération de football d'Argentine (AFA), inspiré des rayures bleues et blanches emblématiques de l'Argentine et de son légendaire numéro 10.","Design ufficiale dell'Associazione del Calcio Argentino, ispirato alle iconiche strisce bianco‑azzurre e all'indimenticabile Numero 10.",アルゼンチンを象徴する青と白のストライプと伝説的な背番号10をイメージしたアルゼンチンサッカー協会デザイン。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Pocket-sized ,Taschenformat,Tamaño de bolsillo,Format de poche,Design tascabile,ポケットに収まるサイズ,,,,,,,,,,,
,,,Match-Winning Speed ,Meisterhafte Geschwindigkeit,Velocidad ganadora,La vitesse qui fait la différence,Velocità che fa la differenza in partita,試合に勝つスピード,,,,,,,,,,,
,,,Automatic Photo Backups,Automatische Fotosicherung,Copias de seguridad automáticas de fotos,Sauvegardes automatiques de photos,Backup automatici delle foto,写真の自動バックアップ,,,,,,,,,,,
,,,Game-Ready for Creators,Bereit für Fußballcontent,Perfecto para creadores,Optimisé pour le gaming pour les créateurs,Design ottimizzato per i creator,クリエイター向けのゲーム対応,,,,,,,,,,,
,,,Plays Nicely with all Your Devices,Kommt mit all Ihren Geräten zurecht,Juega en equipo con todos tus dispositivos,S'accorde avec tous vos appareils,Funziona bene su tutti i tuoi dispositivi,すべてのデバイスで快適に動作,,,,,,,,,,,
,,,Secure Every Winning Moment,Fangen Sie jeden triumphalen Moment ein,Conserva cada momento ganador,Ne perdez aucun moment gagnant,Custodisci ogni momento vincente,すべての勝利の瞬間を保護,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Match-Winning Speed ,Meisterhafte Geschwindigkeit,Velocidad ganadora,La vitesse qui fait la différence,Velocità che fa la differenza in partita,試合に勝つスピード,,,,,,,,,,,
,,,"Blazing-fast speeds of up to 2000MB/s* read and 1800MB/s* write can quickly capture every pass, shot, and goal. ","Mit blitzschnellen Geschwindigkeiten von bis zu 2000 MB/s* (Lesen) und 1800 MB/s* (Schreiben) fangen Sie jeden Pass, jeden Schuss und jedes Tor ein.","Las velocidades ultrarrápidas de hasta 2000 MB/s* de lectura y 1800 MB/s* de escritura pueden capturar rápidamente cada pase, tiro y gol.","Des vitesses ultra-rapides allant jusqu'à 2 000 Mo/s* en lecture et 1 800 Mo/s* en écriture permettent de capturer rapidement chaque passe, chaque tir et chaque but.","Fino a 2000 MB/s* in lettura e 1800 MB/s* in scrittura, per acquisire rapidamente ogni azione: passaggi, conclusioni e gol.",最大リード2000 MB/s*および最大ライト1800 MB/s*の高速処理で、試合中のパス、シュート、ゴールを逃すことなく瞬時にキャプチャできます。,,,,,,,,,,,
,,,"*Speeds based on internal testing on device that supports USB 3.2 Gen 2x2; performance may be lower depending on host device, interface, usage conditions, and other factors.","*Geschwindigkeiten basieren auf internen Tests mit Geräten, die USB 3.2 Gen 2x2 unterstützen. Sie Leistung kann je nach Hostgerät, Schnittstelle, Einsatzbedingungen und anderen Faktoren geringer ausfallen.","* Velocidades basadas en pruebas internas en dispositivos compatibles con USB 3.2 Gen 2x2; el rendimiento puede ser inferior en función del dispositivo al que se conecte, la interfaz, las condiciones de uso y otros factores.","*Vitesses basées sur des tests internes sur l'appareil qui prend en charge USB 3.2 Gen 2x2 ; les performances peuvent être inférieures en fonction de l'appareil hôte, de l'interface, des conditions d'utilisation et d'autres facteurs.","*Le velocità riportate si basano su test interni effettuati su dispositivo compatibile con USB 3.2 Gen 2x2; le prestazioni effettive possono variare a seconda del dispositivo host, dell'interfaccia, delle condizioni operative e di altri fattori.",*速度は、USB 3.2 Gen 2x2をサポートするデバイスでの社内テストに基づいています。ホストデバイス、インターフェイス、使用条件、その他要因によりパフォーマンスが低下することがあります。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Pocket-Sized — Built to Travel Like the Team,Taschenformat – immer unterwegs wie das Team,Tamaño de bolsillo: diseñado para viajar como el equipo,Format de poche : conçu pour voyager comme l'équipe,Design tascabile: creato per viaggiare al ritmo della squadra,ポケットに収まるサイズ—チームのように携行できる設計,,,,,,,,,,,
,,,"Roughly the size of a credit card at 4.8mm thick, the slim, solid aluminum unibody construction fits comfortably in the palm of your hand or pocket.","Das schlanke, solide Unibody-Gehäuse aus Aluminium ist mit nur 4,8 mm Dicke ungefähr so groß wie eine Kreditkarte und passt bequem in Ihre Handfläche oder Tasche.","Con el tamaño aproximado de una tarjeta de crédito de 4,8 mm de grosor, la construcción de aluminio delgada, sólida y compacta se ajusta perfectamente a la palma de la mano o el bolsillo.","Approximativement de la taille d'une carte de crédit et d'une épaisseur de 4,8 mm, la construction monocoque en aluminium mince et solide tient confortablement dans la paume de votre main ou dans votre poche.","Con dimensioni simili a una carta di credito e uno spessore di 4,8 mm, il corpo monoscocca in alluminio, sottile e robusto, si tiene comodamente in mano e si infila facilmente in tasca.",クレジットカードほどの大きさで、厚さ4.8mmのスリムで頑丈なアルミニウム製の一体型構造は、手のひらやポケットの中にぴったりと収まります。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Automatically Store Every Winning Moment,Speichert automatisch jeden Moment des Triumphs,Almacena automáticamente cada momento ganador,Stockez automatiquement chaque moment gagnant,Archivia automaticamente ogni istante decisivo,すべての勝利の瞬間を自動保存,,,,,,,,,,,
,,,"The Lexar App automatically backs your mobile photos, videos, and even iPhone Live Photos to easily save all your winning moments and memories from your mobile device.","Die Lexar App sichert automatisch Ihre Fotos, Videos und sogar iPhone Live-Fotos, damit Sie Ihre Siegermomente und Erinnerungen ganz einfach auf Ihrem Mobilgerät speichern können.","La app de Lexar crea automáticamente copias de seguridad de sus fotos, vídeos e incluso Live Photos de iPhone para guardar fácilmente todos sus momentos y recuerdos ganadores de tu dispositivo móvil.","L'application Lexar sauvegarde automatiquement les photos et les vidéos de votre appareil mobile, et même vos photos iPhone Live pour enregistrer facilement tous vos souvenirs et moments gagnants depuis votre appareil mobile.","L'app Lexar esegue automaticamente il backup di foto, video e persino Live Photo dell'iPhone, così puoi salvare facilmente tutti i tuoi momenti e ricordi più importanti dal dispositivo mobile.",Lexarアプリは、モバイルデバイスの写真、ビデオ、さらにiPhone Live Photosを自動的にバックアップし、大切な勝利の瞬間や思い出を簡単に保存できます。,,,,,,,,,,,
,,,*LexarApp is a mobile application available for download by searching “LexarApp” in your phone’s app store. ,"*Die LexarApp ist eine Mobilgeräte-Anwendung, die Sie im App-Store Ihres Telefons unter „LexarApp“ finden.","* LexarApp es una aplicación móvil disponible para descargar buscando ""LexarApp"" en la tienda de aplicaciones de tu teléfono.",*LexarApp est une application mobile disponible au téléchargement en recherchant « LexarApp » dans la boutique d'applications de votre téléphone.,"*LexarApp è un'applicazione mobile disponibile cercando ""LexarApp"" nell'app store del tuo telefono.",*Lexarアプリは、スマートフォンのアプリストアで「Lexarアプリ」を検索してダウンロードできるモバイルアプリケーションです。,,,,,,,,,,,
,,,"*LexarApp supports automatic photo album backup for iOS, Android and HarmonyOS devices. It does not currently support Harmony NEXT or iCloud backup. ","*Die LexarApp unterstützt die automatische Sicherung von Fotoalben für iOS-, Android- und HarmonyOS-Geräte. Harmony NEXT- oder iCloud-Sicherung wird derzeit nicht unterstützt.","* LexarApp admite la copia de seguridad automática de álbumes de fotos para dispositivos iOS, Android y HarmonyOS. Actualmente no es compatible con Harmony NEXT ni con la copia de seguridad de iCloud.","*LexarApp prend en charge la sauvegarde automatique des albums photos pour les appareils iOS, Android et HarmonyOS. Elle ne prend actuellement pas en charge la sauvegarde Harmony NEXT ou iCloud.","*LexarApp supporta il backup automatico degli album fotografici per dispositivi iOS, Android e HarmonyOS. Attualmente non supporta il backup su Harmony NEXT e iCloud.",*Lexarアプリは、iOS、Android、およびHarmonyOSのデバイスのフォトアルバムの自動バックアップに対応しています。現在、Harmony NEXTまたはiCloudバックアップはサポートされていません。,,,,,,,,,,,
,,,*Cross-device and cross-system backup and restore are not supported at this time. Please note that uninstalling LexarApp from your original device will prevent Live Photos from being restored.,"*Geräte- und systemübergreifende Sicherung und Wiederherstellung wird derzeit nicht unterstützt. Beachten Sie, dass nach der Deinstallation der LexarApp von Ihrem Originalgerät die Wiederherstellung von Live-Fotos nicht mehr möglich ist.",* Actualmente no se admite la copia de seguridad y restauración entre dispositivos y sistemas. Ten en cuenta que desinstalar LexarApp del dispositivo original impedirá la restauración de tus Live Photos.,*La sauvegarde et la restauration sur plusieurs appareils et systèmes ne sont pas prises en charge pour le moment. Veuillez noter que la désinstallation de LexarApp de votre appareil d'origine empêchera la restauration de vos photos Live.,"*Il backup e il ripristino tra dispositivi o tra sistemi diversi non sono al momento supportati. Nota: disinstallando LexarApp dal dispositivo originale, il ripristino delle Live Photo non sarà più possibile.",*現時点では、デバイス間とシステム間のバックアップと復元には対応していません。元のデバイスからLexarアプリをアンインストールすると、ライブフォトが復元されなくなることにご注意ください。,,,,,,,,,,,
,,脚注更新，见此,"*Lexar App is now available in app store. It supports automatic photo album backup for iOS, Android, and HarmonyOS devices. Harmony NEXT and iCloud backup are not supported.
*Cross-device and cross-system backup and restore are not supported. Uninstalling Lexar App from the original device will prevent Live Photos from being restored.","*Die Lexar App ist jetzt im App Store verfügbar. Sie unterstützt die automatische Fotoalbum-Sicherung für iOS-, Android- und HarmonyOS-Geräte. Eine Sicherung für Harmony NEXT und iCloud wird nicht unterstützt.
*Geräte- und systemübergreifende Sicherung sowie Wiederherstellung werden nicht unterstützt. Die Deinstallation der Lexar App vom ursprünglichen Gerät verhindert die Wiederherstellung von Live Photos.","*La app Lexar ya está disponible en la tienda de aplicaciones. Admite la copia de seguridad automática de álbumes de fotos en dispositivos iOS, Android y HarmonyOS. No compatible con copia de seguridad de Harmony NEXT ni iCloud.*No se admite la copia ni restauración entre dispositivos y sistemas. Desinstalar la app Lexar del dispositivo original impedirá restaurar las Live Photos.","*L'application Lexar est désormais disponible sur l'App Store. Elle prend en charge la sauvegarde automatique d'albums photos sur appareils iOS, Android et HarmonyOS. La sauvegarde Harmony NEXT et iCloud n'est pas prise en charge.
*La sauvegarde et restauration inter-appareils et inter-systèmes ne sont pas compatibles. Désinstaller l'application Lexar de l'appareil d'origine empêche la restauration des Live Photos.","*L'app Lexar è ora disponibile nell'App Store. Supporta il backup automatico degli album fotografici su dispositivi iOS, Android e HarmonyOS. Il backup di Harmony NEXT e iCloud non è supportato.
*Backup e ripristino tra dispositivi e sistemi diversi non sono supportati. Disinstallando l'app Lexar dal dispositivo originale non sarà possibile ripristinare le Live Photos.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Match-Ready for Creators,Match-bereit für Kreative,"Listo para el partido, para creadores de contenido","Prêt pour le match, dédié aux créateurs","Pronto per la partita, pensato per i creatori",クリエイター向けのゲーム対応,,,,,,,,,,,
,,,"Supports Apple ProRes and Samsung recording to capture every exciting, game-winning moment from each game directly to the drive. Record up to 4K 60/120FPS with iPhone 15 Pro (or above), and up to 8K 30FPS with Samsung Galaxy S25 (or above).","Unterstützt Aufnahmen mit Apple ProRes und Samsung, um jeden aufregenden, triumphalen Moment von jedem Spiel direkt auf dem Laufwerk festzuhalten. Nehmen Sie mit dem iPhone 15 Pro (oder höher) bis zu 4K 60/120FPS und mit dem Samsung Galaxy S25 (oder höher) bis zu 8K 30FPS auf.",Admite la grabación en formatos Apple ProRes y Samsung para capturar cada momento emocionante y ganador de cada partido directamente en la unidad. Graba hasta en 4K a 60/120 fps con un iPhone 15 Pro (o superior) y hasta en 8K a 30 fps con un Samsung Galaxy S25 (o superior).,"Prend en charge l'enregistrement Apple ProRes et Samsung pour capturer le frisson de chaque moment gagnant, à chaque match, directement sur le disque. Enregistrez des vidéos en qualité jusqu'à 4K 60/120fps avec l'iPhone 15 Pro (ou supérieur) et jusqu'à 8K 30 ips avec le Samsung Galaxy S25 (ou supérieur).","Supporta Apple ProRes e la registrazione Samsung, per catturare ogni momento emozionante e decisivo di ogni partita direttamente sull'unità. Registra fino a 4K a 60/120 FPS con iPhone 15 Pro (o successivi) e fino a 8K a 30 FPS con Samsung Galaxy S25 (o successivi).",Apple ProResとSamsungのレコーディング機能に対応し、興奮に沸く各試合の勝利の瞬間すべてを、ドライブに直接キャプチャできます。iPhone 15 Pro（以降）では4K 60/120FPS、Samsung Galaxy S25（以降）では最大8K 30FPSで記録できます。,,,,,,,,,,,
,,,*No Magnetic Function,Keine Magnetfunktion,Sin función magnética,Sans fonction magnétique,Senza funzione magnetica,,,,,,,,,,,,
,,,Expanding Your Phone's Storage,Erweitern Sie den Speicher Ihres Telefons,Amplía el almacenamiento de tu teléfono,Augmentez le stockage de votre téléphone,Espandi lo spazio di archiviazione del tuo telefono,,,,,,,,,,,,
,,,Quick Transfer and Backup,Schnelle Übertragung und Sicherung,Transferencia rápida y copia de seguridad,Transfert rapide et sauvegarde,Trasferimento rapido e backup,,,,,,,,,,,,
,,,Video Editing,Videobearbeitung,Edición de vídeo,Montage vidéo,Montaggio video,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Secure Every Winning Moment,Fangen Sie jeden triumphalen Moment ein,Conserva cada momento ganador,Ne perdez aucun moment gagnant,Custodisci ogni momento vincente,すべての勝利の瞬間を保護,,,,,,,,,,,
,,,"Includes Lexar DataShield™, with 256-bit AES encryption, to help keep your sensitive files secure，while the Lexar Recovery Tool can recover accidentally deleted files.",Inklusive Lexar® DataShield™ mit 256-Bit AES Verschlüsselungssoftware zum Schutz Ihrer Dateien. Zusätzlich können Sie mit dem Lexar Recovery Tool versehentlich gelöschte Dateien wiederherstellen.,"Incluye Lexar DataShield™, con cifrado AES de 256 bits, para ayudar a mantener tus archivos confidenciales seguros, y Lexar Recovery Tool, capaz de recuperar archivos eliminados accidentalmente.","Inclut Lexar DataShield™, avec un cryptage AES 256 bits qui protège vos fichiers sensibles, tandis que l'outil Lexar Recovery Tool peut récupérer les fichiers supprimés accidentellement.","Include Lexar DataShield™, con crittografia AES a 256 bit, per mantenere al sicuro i tuoi file sensibili, mentre Lexar Recovery Tool può recuperare i file eliminati accidentalmente.",Lexar DataShield™は、256ビットAES暗号化を備え、機密性の高いファイルを保護します。Lexar Recovery Toolは、誤って削除されたファイルを復元できます。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Plays Nicely with all Your Devices,Kommt mit all Ihren Geräten zurecht,Juega en equipo con todos tus dispositivos,S'accorde avec tous vos appareils,Funziona bene su tutti i tuoi dispositivi,すべてのデバイスで快適に動作,,,,,,,,,,,
,,,Category,Kategorie,Categoría,Catégorie,Categoria,カテゴリ,,,,,,,,,,,
,,,Computers ,Computer,Ordenadores,Ordinateurs,Computer,コンピューター,,,,,,,,,,,
,,,Tablets ,Tablets,Tabletas,Tablettes,Tablet,タブレット,,,,,,,,,,,
,,,Smartphones ,Smartphones,Smartphones,Smartphones,Smartphone,スマートフォン,,,,,,,,,,,
,,,Cameras,Kameras,Cámaras,Caméras,Fotocamere,カメラ,,,,,,,,,,,
,,,Gaming Consoles,Spielkonsolen,Consolas de juegos,Consoles de jeux,Console di gioco,ゲーミングコンソール,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Compatible Models,Kompatible Modelle,Modelos compatibles,Modèles compatibles,Modelli compatibili,対応モデル,,,,,,,,,,,
,,,Most desktops & laptops ,Die meisten Desktop-PCs und Notebooks,La mayoría de los equipos de sobremesa y portátiles,La plupart des ordinateurs de bureau et portables,Maggior parte dei PC desktop e laptop,ほとんどのデスクトップとノートパソコン,,,,,,,,,,,
,,,Most smart tablets,Die meisten Smart-Tablets,La mayoría de las tabletas inteligentes,La plupart des tablettes connectées,Maggior parte dei tablet smart,ほとんどのスマートタブレット,,,,,,,,,,,
,,,USB-C smartphones,USB-C-Smartphones,Smartphones con USB-C,Smartphones avec connecteur USB-C.,Smartphone USB‑C,USB-Cスマートフォン,,,,,,,,,,,
,,,iPhone 15/16/17 Pro series,iPhone 15/16/17 Pro-Serie,iPhone 15/16/17 Pro,iPhone série 15/16/17 Pro,Serie iPhone 15/16/17 Pro,iPhone 15/16/17 Proシリーズ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Use Cases,Anwendungsbereiche,Casos de uso,Cas d'utilisation,Casi d'uso,使用例,,,,,,,,,,,
,,,"Transfer, Backup, Expand storage","Übertragung, Sicherung, Speichererweiterung","Transferencia, copia de seguridad, ampliación del almacenamiento","Transfert, sauvegarde, extension du stockage","Trasferimento, backup, espansione dello spazio di archiviazione",転送、バックアップ、ストレージ拡張,,,,,,,,,,,
,,,Prores 4K 60/120fps recording,ProRes 4K-Aufnahmen mit 60/120 Bildern pro Sekunde,Grabación en ProRes 4K a 60/120 fps,Enregistrement ProRes 4K 60/120 ips,Registrazione ProRes 4K 60/120 fps,ProRes 4K 60/120fps録画,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Record 4K/8K Video & Photos Directly to SSD,4K/8K-Aufnahme von Videos und Fotos direkt auf SSD,Graba fotos y vídeo 4K/8K directamente en la unidad SSD,Enregistrement de vidéos et de photos 4K/8K directement sur le SSD,Registrazione diretta su SSD di contenuti video e foto in 4K/8K,4K/8Kビデオと写真をSSDに直接録画,,,,,,,,,,,
,,,"Expand game storage, Direct Load & Play","Erweiterung des Spielspeichers, direktes Laden und Speichern","Amplía el almacenamiento para juegos, carga y reproducción directas","Extension de l'espace de stockage pour les jeux, chargement et lecture directs","Espansione dell'archiviazione di gioco, caricamento e gioco diretto",ゲームのストレージを拡張し、直接ロードしてプレイ可能に,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,AFA Legacy Collectors' Edition,AFA Legacy Sammleredition,Edición Coleccionista Legado AFA,Édition Collector Héritage AFA,Edizione Collezionistica Legato AFA,AFAの栄光を結集した特別エディション,,,,,,,,,,,
,,,"This official custom-packaged collectible includes：
 custom portable SSD,
 custom USB‑C to C cable 
 USB‑C to A adapter
Argentina collectible card ","Dieses offizielle Sammlerpaket umfasst:
exklusive tragbare SSD,
exklusives USB-C-zu-C-Kabel,
USB-C-zu-A-Adapter,
Argentinien-Sammelkarte","Este paquete coleccionable oficial incluye:
SSD portátil personalizada, 
cable USB-C a C,
adaptador USB-C a A, 
tarjeta coleccionable de la selección argentina","Cette collection personnalisée officielle comprend:
SSD portable personnalisé, 
câble USB-C vers C personnalisé, 
adaptateur USB-C vers A, 
carte de collection Argentine","Questa edizione da collezione ufficiale comprende:
SSD portatile personalizzato,
cavo USB-C a C personalizzato,
adattatore USB-C ad A,
carta da collezione dell'Argentina",,,,,,,,,,,,