亚马逊需要9国语言,,,,,,,,,,,,亚马逊9国语言,,,,,,,,,,,,,,,
官网需要10国语言,官网10国语言,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,EN,需要翻译的语种,德DE,法FR,西班牙ES,意大利IT,波兰PL,阿拉伯AR,日本JP,中文CN,台湾TC,荷兰NL,瑞典SE,土耳其TR,,,,,,,,,,,,,
,"All-in-one
Workflow Solution

Lexar Professional Workflow","翻译8种官网语言
优先：德/法/西意/波兰/阿拉伯/日本/台湾","All-in-One Workflow Lösung
 
 Lexar Professional Workflow","Solution Workflow tout-en-un
 
 Lexar Professional Workflow","Solución de flujo de trabajo todo en uno
 
 Lexar Professional Workflow","Soluzione Workflow tutto in uno
 
 Lexar Professional Workflow","Organizacja przepływu pracy All-in-one
 
 Lexar Professional Workflow","حل Workflow متعدد الاستعمالات
 
 حل Professional Workflow من Lexar","オールインワンのワークフローソリューション
 
 Lexar Professional Workflow","专业后期新生产力
 
 Lexar Professional Workflow桌面备份站","多合一 Workflow 解決方案
 
 Lexar Professional Workflow",,,,,,,,,,,,,,,,
,"Six-Bay Design for
Flexible Combination

Dual Thunderbolt 4
Ports

Professional Workflow Series

Simultaneous Offloads

Redefine Efficiency

Industry-leading Card Readers

Cutting-edge Portable SSD",,"Six-Bay Design für flexible Kombination
 
 Dual Thunderbolt 4 Ports
 
 Professional Workflow Serie
 
 Simultanes Lesen
 
 Effizienz neu definiert
 
 Branchenführende Kartenleser
 
 Modernste tragbare SSD","Conception à six baies pour une combinaison flexible
 
 Deux ports Thunderbolt 4
 
 Série Professional Workflow
 
 Déchargements simultanés
 
 Redéfinir l'efficacité
 
 Lecteurs de cartes à la pointe de l'industrie
 
 SSD portable de pointe","Diseño de seis bahías para una combinación flexible
 
 Puertos duales Thunderbolt 4
 
 Serie Professional Workflow
 
 Descargas simultáneas
 
 Redefinir la eficiencia
 
 Lectores de tarjetas líderes en la industria
 
 SSD portátil avanzada","Progettazione a sei porte per combinazioni flessibili
 
 Doppie porte Thunderbolt 4
 
 Serie Professional Workflow
 
 Scaricamenti simultanei
 
 L’efficienza, ridefinita
 
 Lettori di schede all'avanguardia
 
 SSD portatile di altissima gamma","Sześć gniazd oznacza elastyczne możliwości
 
 Dwa gniazda Thunderbolt 4
 
 Seria Professional Workflow
 
 Równoczesne zgrywanie danych
 
 Wydajność zdefiniowana na nowo
 
 Wiodące w branży czytniki kart
 
 Najnowocześniejszy przenośny dysk SSD","تصميم بستة فتحات لتكوينات مرنة
 
 منافذ Thunderbolt 4 مزدوجة
 
 سلسلة Professional Workflow Series
 
 تحميل البيانات بشكل متزامن
 
 إعادة تعريف الكفاءة
 
 أجهزة قراءة بطاقات رائدة في المجال
 
 محرك أقراص SSD محمول متطور","6ベイ設計で柔軟な組み合わせを実現
 
 デュアルThunderbolt 4ポート
 
 Professional Workflowシリーズ
 
 同時オフロード
 
 効率を再定義
 
 業界をリードするカードリーダー
 
 最先端のポータブルSSD","模块化设计
 自由组合
 
 Thunderbolt 4 接口 高速传输
 
 Professional Workflow 系列
 
 六盘同读
 
 效率飙升
 
 支持多种读卡器
 
 支持移动固态硬盘","六磁碟槽設計彈性組合
 
 兩個 Thunderbolt 4 連接埠
 
 Professional Workflow 系列
 
 同時讀取
 
 重新界定效率
 
 領先業界的讀卡機
 
 先進的可攜式 SSD",,,,,,,,,,,,,,,,
,"Your Workflow Reimagined
A new era of streamlined workflow is here
With the Lexar Professional Workflow series, you can unleash new levels of 
efficiency, creativity, and productivity",,"Ihr Workflow neu definiert
 Eine neue Ära optimierter Workflows hat begonnen.
 Mit der Lexar Professional Workflow Serie erreichen Sie neue Ebenen der Effizienz, Kreativität und Produktivität.","Votre flux de travail réimaginé
 Une nouvelle ère de flux de travail rationalisé est arrivée.
 Avec la série Lexar Professional Workflow, vous pouvez atteindre de nouveaux niveaux d'efficacité, de créativité et de productivité.","Tu flujo de trabajo reimaginado
 Una nueva era de flujo de trabajo optimizado ha llegado.
 Con la serie Lexar Professional Workflow puedes alcanzar nuevos niveles de eficiencia, creatividad y productividad.","Il tuo flusso di lavoro, reimmaginato
 Arriva una nuova era di flusso di lavoro ottimizzato
 Con la serie Lexar professional Workflow, puoi raggiungere nuovi livelli di efficienza, creatività e produttività.","Opracuj przepływ pracy na nowo
 Nadeszła nowa era usprawnionego przepływu pracy.
 Urządzenia Lexar Professional Workflow umożliwiają użytkownikom osiąganie wyższych poziomów wydajności, kreatywności i produktywności.","إعادة تصور حل Workflow
 عصر جديد من أسلوب العمل المنظم قد بدأ.
 مع سلسلة Lexar Professional Workflow، يمكنك تحقيق مستويات جديدة من الكفاءة والإبداع والإنتاجية.","ワークフローを再構築
 合理化されたワークフローの新時代がここに。
 Lexar Professional Workflowシリーズで新たなレベルの効率性、創造性、生産性を解き放ちます。","跃进专业后期新时代
 欢迎来到专业后期制作的新时代
 新一代Workflow系列震撼亮相
 将后期制作的效率推向新高度","革新您的工作流程
 歡迎來到專業流暢工作流程的新時代。
 選擇 Lexar Professional Workflow 系列，將您的工作效率、創意發揮和生產力推向新境界。",,,,,,,,,,,,,,,,
,"Meet the Next-gen Workflow
The all-new Workflow holds the most advanced card readers and
portable SSDs into one dock to create the ultimate workflow for your post-production process 
",,"Der Workflow der nächsten Generation
 Der brandneue Workflow vereint die fortschrittlichsten Kartenleser und tragbaren SSDs in einem Dock, um den ultimativen Workflow für Ihre Postproduktion zu schaffen. 
 ","Découvrez la nouvelle génération de Workflow
 Le tout nouveau Workflow regroupe les lecteurs de cartes et les lecteurs SSD portables les plus avancés dans une seule station d'accueil pour créer le flux de travail ultime pour votre processus de post-production. 
 ","Conoce el Workflow de nueva generación
 El nuevo Workflow reúne los lectores de tarjetas y SSD portátiles más avanzados en una sola base para crear el flujo de trabajo definitivo para su proceso de posproducción. 
 ","Arriva il Workflow di nuova generazione
 Il nuovo Workflow unisce in un unico dock i più avanzati lettori di schede e SSD portatili, per creare il flusso di lavoro perfetto per il tuo processo di post-produzione. 
 ","Workflow nowej generacji
 Całkiem nowe urządzenia z serii Workflow łączą w sobie najbardziej zaawansowane czytniki kart i przenośne dyski SSD w jednej obudowie, aby dać doskonałe doświadczenia w procesie postprodukcji. 
 ","تعرّف على حل Workflow من الجيل التالي
 يتيح لك حل Workflow الجديدة كليًا جمع أحدث أجهزة قراءة البطاقات وأقراص SSD المحمولة في قاعدة واحدة، لإنشاء أسلوب العمل المثالي لعملية ما بعد الإنتاج. 
 ","次世代Workflowの登場
 一新されたWorkflowは、最先端のカードリーダーとポータブルSSDを１つのドックに統合し、ポストプロダクションプロセスで究極のワークフローを実現します。 
 ","全新一代Workflow
 就在此刻
 全新的Workflow将强大的读卡器和移动固态硬盘集成到一个桌面备份站，
 为您的后期制作流程提供极致的工作效率，是你名副其实的专业搭档","全新一代 Workflow
 全新的 Workflow 將最先進的讀卡機和可攜式 SSD 整合到同一個擴充站，為您的後製流程提供極致的工作效率。 
 ",,,,,,,,,,,,,,,,
,"Simultaneous Offloads Redefine Efficiency
Want to quickly back up all your data? You no longer have to offload data card by card
Workflow allows six modules to offload simultaneously, drastically reducing wait times, and enhancing productivity",,"Simultanes Lesen definiert Effizienz neu
 Möchten Sie schnell all Ihre Daten sichern? Sie müssen Daten nicht mehr länger Karte für Karte auslesen.
 Der Workflow ermöglicht das gleichzeitige Lesen von sechs Modulen, was Wartezeiten drastisch reduziert und die Produktivität steigert.","Les déchargements simultanés redéfinissent l'efficacité
 Vous souhaitez sauvegarder rapidement toutes vos données ? Vous n'avez plus besoin de décharger les données carte par carte.
 Workflow permet à six modules de se décharger simultanément, ce qui réduit considérablement les temps d'attente et améliore la productivité.","Las descargas simultáneas redefinen la eficiencia
 ¿Quieres realizar una copia de seguridad rápida de todos tus datos? Ya no es necesario descargar datos tarjeta por tarjeta.
 Workflow permite descargar seis módulos simultáneamente, lo que reduce drásticamente los tiempos de espera y mejora la productividad.","Scaricamenti simultanei per un’efficienza mai vista prima
 Vuoi fare un rapido backup di tutti i tuoi dati? Non devi più scaricarli una scheda alla volta.
 Con Workflow puoi scaricare contemporaneamente sei moduli, per ridurre drasticamente i tempi di attesa e migliorare la produttività.","Równoczesne zgrywanie danych definiuje wydajność na nowo
 Potrzebujesz szybko wykonać kopię swoich danych? Już nie musisz zgrywać danych indywidualnie, karta po karcie.
 Urządzenia z serii Workflow umożliwiają równoczesne zgrywanie z sześciu nośników, co oznacza radykalne skrócenie czasu oczekiwania i zwiększenie produktywności.","التفريغ المتزامن يعيد تعريف الكفاءة
 إذا كنت تريد نسخ جميع بياناتك احتياطيًا بسرعة؟ لم يعد عليك نقل البيانات من بطاقة ذاكرة واحدة في كل مرة.
 الآن يمكنك نقل البيانات من ست بطاقات ذاكرة في نفس الوقت بفضل حل Workflow، مما يقلل من الوقت الذي تقضيه في انتظار انتهاء النقل ويزيد من إنتاجيتك.","同時オフロード 効率を再定義
 すべてのデータを素早くバックアップしたいですか？もうデータをカードごとにオフロードする必要はありません。
 Workflowでは6つのモジュールで同時にオフロードでき、待ち時間を大幅に短縮し、生産性が向上されます。","同时读取
 同步备份
 
 想要快速备份所有数据吗？您不再需要一张一张地读取卡的数据
 Workflow允许六个模块同时工作，大幅减少等待时间，最大化你的生产力","同時讀取重新界定效率
 想要快速備份所有資料嗎？您不再需要一張一張地讀取記憶卡中的資料。
 Workflow 能讓六個模組同時讀取資料，大幅縮短等待時間，同時提高生產力。",,,,,,,,,,,,,,,,
,"Powerful Connections
Maximize productivity with versatile multi-device connections

* The two right-side slots share a maximum bandwidth of 40Gbps, while the four left-side slots share a maximum bandwidth of 10Gbps. 
When all six slots are in use simultaneously, the combined total bandwidth is capped at 40Gbps.
Speed based on internal testing. Actual performance may vary.",,"Leistungsstarke Verbindungen
 Maximale Produktivität durch vielseitige Verbindungen mit mehreren Geräten
 
 * Die beiden rechten Steckplätze teilen sich eine maximale Bandbreite von 40Gbps, während die vier linken Steckplätze sich eine maximale Bandbreite von 10Gbps teilen. 
 Bei gleichzeitiger Nutzung aller sechs Steckplätze ist die kombinierte Gesamtbandbreite auf 40Gbps begrenzt.
 Die Geschwindigkeit basiert auf internen Tests. Die tatsächliche Geschwindigkeit kann variieren.","Connexions puissantes
 Maximisez votre productivité grâce à des connexions multi-appareils polyvalentes
 
 * Les deux emplacements de droite partagent une bande passante maximale de 40 Gbps, tandis que les quatre emplacements de gauche partagent une bande passante maximale de 10 Gbps. 
 Lorsque les six emplacements sont utilisés simultanément, la bande passante totale combinée est plafonnée à 40 Gbps.
 La vitesse est basée sur des tests internes. Les performances réelles peuvent varier.","Conexiones potentes
 Maximiza la productividad con conexiones versátiles para múltiples dispositivos
 
 * Las dos ranuras del lado derecho comparten un ancho de banda máximo de 40 Gbps, mientras que las cuatro ranuras del lado izquierdo comparten un ancho de banda máximo de 10 Gbps. 
 Cuando las seis ranuras se utilizan simultáneamente, el ancho de banda total combinado está limitado a 40 Gbps.
 La velocidad se basa en pruebas internas. El rendimiento real puede variar.","Connessioni potenti
 Massimizza la produttività con connessioni versatili multi-dispositivo
 
 *Le due fessure sul lato destro hanno una larghezza di banda comune massima di 40 Gbps, mentre le quattro fessure sul lato sinistro hanno una larghezza di banda comune massima di 10 Gbps. 
 Quando si usano contemporaneamente tutte e quattro le fessure, la larghezza di banda totale massima è di 40 Gbps.
 La velocità è basata su test interni. Le prestazioni effettive possono variare.","Szerokie możliwości połączeń
 Maksymalizuj produktywność dzięki uniwersalnym możliwościom podłączania wielu urządzeń
 
 * Dwa gniazda z prawej strony charakteryzują się maksymalną przepustowością 40 Gb/s, a cztery gniazda z lewej strony mają maksymalną przepustowość 10 Gb/s. 
 W przypadku korzystania ze wszystkich sześciu gniazd równocześnie wspólna całkowita przepustowość jest ograniczona do 40 Gb/s.
 Podane prędkości na podstawie testów wewnętrznych. Rzeczywiste osiągi mogą być inne.","اتصالات قوية
 هذا الجهاز يساعدك على زيادة إنتاجيتك من خلال توصيل عدة أجهزة في وقت واحد.
 
 * الفتحتان على الجانب الأيمن يمكنهما نقل البيانات بسرعة كبيرة تصل إلى 40 جيجابت في الثانية، بينما الفتحات الأربع على الجانب الأيسر تنقل البيانات بسرعة أقل تصل إلى 10 جيجابت في الثانية. 
 عندما تستخدم جميع الفتحات الستة في نفس الوقت، يكون الحد الأقصى لسرعة نقل البيانات 40 جيجابت في الثانية.
 هذه السرعات تعتمد على الاختبارات التي أجريت داخل الشركة المُصنّعة. الأداء الفعلي قد يختلف عن الأداء المذكور أو المقارن به.","パワフルな接続機能
 汎用性の高いマルチデバイス接続で生産性を最大化できますい。
 
 * 右側にある2つのスロットは最大帯域幅40Gbpsを共有し、左側にある4つのスロットは 最大帯域幅10Gbpsを共有します。 
 6つすべてのスロットが同時に使用されている場合、合計帯域幅は40Gbpsが上限となります。
 速度は社内テストに基づいています。実際のパフォーマンスは異なる場合があります。","端口
 个个不凡
 USB C（最高10Gbps）
 雷电 4（最高40Gbps）
 USB C（最高10Gbps，最高7.5W输出）
 USB A（最高10Gbps，最高7.5W输出）
 菊链接口
 上行接口（最高85W输出）
 电源接口 （最高140W输入）
 
 *右侧两个插槽共享的最大带宽为40Gbps，而左侧四个插槽共享的最大带宽为10Gbps。
 当所有六个插槽同时使用时，组合后的总带宽上限为40Gbps。
 速度基于内部测试，实际性能可能会有所不同","強大的連接功能
 同時連接多重裝置將生產力最大化
 
 * 兩個右側插槽共用 40Gbps 的最大頻寬，四個左側插槽共用 10Gbps 的最大頻寬。 
 全部六個插槽一起使用時，總合頻寬上限為 40Gbps。
 速度基於內部測試。實際效能可能有所不同。",,,,,,,,,,,,,,,,
,"Unlock 8K Display with Thunderbolt 4
Expand your workspace with Thunderbolt 4 and enjoy up to 8K video output for unmatched clarity and detail",,"Mit Thunderbolt 4 zum 8K Display
 Erweitern Sie Ihren Arbeitsplatz mit Thunderbolt 4 und genießen Sie bis zu 8K Videoausgabe für unübertroffene Klarheit und Details.","Débloquez l'affichage 8K avec Thunderbolt 4
 Étendez votre espace de travail avec Thunderbolt 4 et profitez d'une sortie vidéo jusqu'à 8K pour une clarté et des détails inégalés","Desbloquea la pantalla 8K con Thunderbolt 4
 Amplía su espacio de trabajo con Thunderbolt 4 y disfruta de una salida de vídeo de hasta 8K para una claridad y detalles incomparables","Usa gli schermi 8K con Thunderbolt 4
 Espandi il tuo spazio di lavoro con Thunderbolt 4 e goditi l’uscita video fino a 8K, per una chiarezza e un dettaglio senza pari","Odblokuj rozdzielczość 8K dzięki złączom Thunderbolt 4
 Powiększ swoją przestrzeń roboczą dzięki złączom Thunderbolt 4 i korzystaj z maksymalnej rozdzielczości obrazu 8K, aby uzyskać doskonałą wyrazistość i szczegółowość","افتح عرض 8K مع Thunderbolt 4
 هذا يعني أنه يمكنك استخدام تقنية Thunderbolt 4 لتوصيل شاشة بدقة 8K بجهاز الكمبيوتر الخاص بك، وهذا يمنحك صورة فائقة الوضوح والتفاصيل.","Thunderbolt 4で8Kディスプレイを解放
 Thunderbolt 4でワークスペースを拡張し、最高8Kのビデオ出力で比類なき鮮明度とディテールを楽しめます","8K
 近在眼前
 
 使用Thunder 4技术，通过外接显示器扩展您的工作空间，
 可解锁高达8K的超高清素材观看体验","透過 Thunderbolt 4 在 8K 顯示器上呈現
 使用 Thunderbolt 4 擴展您的工作空間，享受高達 8K 視訊輸出，體驗無與倫比的清晰度與細節",,,,,,,,,,,,,,,,
,"Personalize Your Workflow
From dramatic module flexibility to dock possibility, see what you can do with our powerful connections.

Connect your own storage device
Charge your phone or laptop 

Stack the docks through daisy chain 
Expand your storage station",,"Personalisieren Sie Ihren Workflow
 Sehen Sie, was Sie von der Modulflexibilität bis zur Dockingfähigkeit alles mit unseren leistungsstarken Anschlüssen machen können.
 
 Ihre eigenen Speichergeräte anschließen
 Ihr Telefon oder Laptop laden 
 
 Die Docks über Daisy-Chain stapeln 
 Ihre Speicherstation erweitern","Personnalisez votre Workflow
 De la flexibilité des modules aux possibilités des stations d'accueil, découvrez ce que vous pouvez faire avec nos puissantes connexions.
 
 Connectez votre propre périphérique de stockage
 Chargez votre téléphone ou votre ordinateur portable 
 
 Empilez les stations d'accueil via la connexion en guirlande 
 Étendez votre station de stockage","Personaliza tu flujo de trabajo
 Desde la espectacular flexibilidad de los módulos hasta la posibilidad de acoplamiento, descubre lo que puedes hacer con nuestras potentes conexiones.
 
 Conecta tu propio dispositivo de almacenamiento
 Carga tu teléfono o portátil 
 
 Apila los puertos mediante conexión en cadena 
 Amplía tu estación de almacenamiento","Personalizza il tuo flusso di lavoro
 Da una grande flessibilità dei moduli alla possibilità dei dock, vedi cosa puoi fare con delle connessioni potenti.
 
 Collega il tuo dispositivo di archiviazione
 Carica il telefono o il computer portatile 
 
 Collega i dock a catena 
 Espandi la tua stazione di archiviazione","Spersonalizuj swój Workflow
 Korzystaj z zalet, takich jak elastyczność modułów po możliwość dokowania. Przekonaj się, co możesz zrobić dzięki szerokim możliwościom połączeń.
 
 Podłącz własne urządzenie magazynujące
 Ładuj swój telefon lub laptopa 
 
 Łącz doki w łańcuchy 
 Rozbuduj swój magazyn danych","خصص حل Workflow
 من المرونة الكبيرة في استخدام الوحدات إلى إمكانية توصيل الحواسيب، اكتشف ما يمكنك فعله مع اتصالاتنا القوية.
 
 قم بتوصيل جهاز التخزين الخاص بك
 اشحن هاتفك أو حاسوبك المحمول 
 
 قم بتوصيل وحدات التوصيل معًا عبر سلسلة ديزي 
 وسّع محطة التخزين الخاصة بك","自分だけのWorkflowを実現
 劇的なモジュールの柔軟性からドックの可能性まで、強力な接続機能で何ができるかをご確認ください。
 
 自分のストレージデバイスを接続
 スマートフォンやノートパソコンを充電 
 
 デイジーチェーンを通じたドックのスタック 
 ストレージステーションを拡張","定制你的Workflow
 
 从连接多种设备到堆叠多台主机
 一起探索我们的强大连接性能带来的无限可能
 
 连接您的个人存储设备
 为您的手机或笔记本电脑充电
 
 通过菊链技术
 轻松扩展您的存储空间","個人化 Workflow
 擁有驚人的模組彈性組合，也可連接擴充站，快來看看這些強大的連接功能可為您帶來哪些好處。
 
 連接您個人的儲存裝置
 為手機或筆記型電腦充電 
 
 透過菊鏈連接堆疊擴充站 
 輕鬆擴充儲存站",,,,,,,,,,,,,,,,
