Product Name,Picture,Source Language,German (Germany),Spanish (Spain,French (France),Italian (Italy),Japanese (Japan),Dutch (Netherlands),Polish (Poland),Portuguese (Brazil),Swedish (Sweden),Turkish (Türkiye),Vietnamese (Vietnam),Chinese (Traditional,,,,,
,,"Fits in a wide range of desktops, mini PCs, laptops, and game consoles to simplify expansions and upgrades. Plug directly in M.2 2230 slots, or use the included adapter to use in an M.2 2280 slot.","Passt in eine Vielzahl von Desktops, Mini-PCs, Laptops und Spielkonsolen und bietet einfache Erweiterungen und Aktualisierungen. Sie können sie direkt in M.2 2230-Steckplätze stecken oder den mitgelieferten Adapter verwenden, um sie in einem M.2 2280-Steckplatz zu verwenden.","Se adapta a todo tipo de equipos de sobremesa, mini PC, portátiles y videoconsolas para simplificar las ampliaciones y actualizaciones. Conéctala directamente a ranuras M.2 2230 o usa el adaptador incluido para conectarla a ranuras M.2 2280.","Compatible avec un large éventail de PC de bureau, mini‑PC, ordinateurs portables et consoles de jeu, il simplifie les extensions et les mises à niveau. Installez-le directement dans les emplacements M.2 2230 ou utilisez l'adaptateur inclus pour une installation dans un emplacement M.2 2280.","Facilmente adattabile a un'ampia gamma di desktop, mini PC, laptop e console di gioco, semplifica gli aggiornamenti e le espansioni. Puoi collegarla direttamente agli slot M.2 2230 o a uno slot M.2 2280 tramite adattatore incluso.",さまざまなデスクトップ、ミニPC、ノートPC、ゲーム機に対応し、手軽な拡張やアップグレードを実現します。M.2 2230スロットにはそのまま差しこみ、M.2 2280スロットで使用する場合は付属のアダプターを使用できます。,"Past in een breed scala aan desktops, mini-pc's, laptops en gameconsoles om uitbreidingen en upgrades te vereenvoudigen. Sluit rechtstreeks aan op de M.2 2230-sleuven of gebruik de meegeleverde adapter voor gebruik in een M.2 2280-sleuf.","Może być stosowany w szerokiej gamie komputerów stacjonarnych, mini komputerów, laptopów i konsol do gier, co ułatwia rozbudowę i modernizację. Można go podłączyć bezpośrednio do gniazda M.2 2230 lub użyć dołączonego do zestawu adaptera, aby podłączyć dysk do gniazda M.2 2280.","Cabe em uma ampla variedade de desktops, mini PCs, notebooks e consoles de jogos, simplificando expansões e atualizações. Conecte diretamente em slots M.2 2230 ou use o adaptador incluído para usar em um slot M.2 2280.","Passar i ett brett utbud av stationära datorer, minidatorer, bärbara datorer och spelkonsoler för att förenkla expansioner och uppgraderingar. Anslut direkt till M.2 2230-kortplatserna eller använd den medföljande adaptern för att använda den i en M.2 2280-kortplats.","Çok çeşitli masaüstü bilgisayarlara, mini bilgisayarlara, dizüstü bilgisayarlara ve oyun konsollarına sığarak genişletme ve yükseltme işlemlerini basitleştirir. Doğrudan M.2 2230 yuvalarına takın veya M.2 2280 yuvasında kullanmak için birlikte verilen adaptörü kullanın.","Phù hợp với đa dạng các loại máy tính để bàn, PC mini và máy chơi game để đơn giản hóa quy trình mở rộng và nâng cấp. Có thể cắm trực tiếp vào khe M.2 2230 hoặc sử dụng bộ chuyển đổi đi kèm để lắp vào khe M.2 2280.",適用多款桌上型電腦、迷你電腦、筆記型電腦及遊戲主機，讓擴充與升級變得更簡單。直接插入 M.2 2230 插槽，或使用隨附的轉接器插入 M.2 2280 插槽。,,,,,
,,Assembling the 2280 Form Factor,Montage des 2280-Formfaktors,Montaje del factor de forma 2280,Assemblage du facteur de forme 2280,Assemblaggio del fattore di forma 2280,2280フォームファクターの組み立て,Het 2280-vormfactor samenstellen,Montaż czynnika kształtu 2280,Montagem do fator de forma 2280,Montering av 2280-formfaktorn,2280 Form Faktörünü Birleştirme,Lắp ráp hệ số hình dạng 2280,組裝 2280 外形規格,,,,,
,,Align the mounting notch with the adapter and slide it horizontally into the slot to complete the 2280 form factor assembly. ,"Richten Sie die Montagekerbe auf den Adapter aus und schieben Sie sie horizontal in den Steckplatz, um die Montage des 2280-Formfaktors abzuschließen.",Alinee la muesca de montaje con el adaptador y deslícelo horizontalmente en la ranura para completar el montaje del factor de forma 2280.,Alignez l'encoche de montage avec l'adaptateur et glissez-la horizontalement dans le logement pour terminer l'assemblage du facteur de forme 2280.,Allineare l'intaglio di montaggio con l'adattatore e farlo scorrere orizzontalmente nello slot per completare l'assemblaggio del fattore di forma 2280.,取り付けノッチをアダプターに合わせ、スロットに水平にスライドさせて、2280フォームファクターの組み立てを完了します。,Lijn de montage-inkeping uit met de adapter en schuif deze horizontaal in de sleuf om de 2280-vormfactor samen te stellen.,"Wyrównaj nacisk montażowy z adapterem i przesuń go poziomo do gniazda, aby zakończyć montaż czynnika kształtu 2280.",Alinhe o entalhe de montagem com o adaptador e deslize-o horizontalmente no slot para concluir a montagem do fator de forma 2280.,Rikta in monteringsskåran mot adaptern och skjut den horisontellt in i kortplatsen för att slutföra monteringen av 2280-formfaktorn.,Montaj çentiğini adaptörle hizalayın ve 2280 form faktörü montajını tamamlamak için yuvaya yatay olarak kaydırın.,Căn chỉnh rãnh lắp với bộ chuyển đổi và trượt nó theo chiều ngang vào khe để hoàn tất lắp ráp hệ số hình dạng 2280.,將安裝凹槽對準轉接卡，然後水平滑入插槽，即可完成 2280 外形規格的組裝。,,,,,
,,Switching to the 2230 Form Factor,Wechsel zum 2230-Formfaktor,Cambio al factor de forma 2230,Passage au facteur de forme 2230,Passaggio al fattore di forma 2230,2230フォームファクターへの切り替え,Overschakelen naar de 2230-vormfactor,Przełączanie na czynnik kształtu 2230,Mudando para o fator de forma 2230,Byte till 2230-formfaktorn,2230 Form Faktörüne Geçiş,Chuyển sang hệ số hình dạng 2230,切換至 2230 外形規格,,,,,
,,Apply gentle force in the opposite direction to remove the SSD from the adapter.,"Üben Sie leichten Druck in die entgegengesetzte Richtung aus, um die SSD vom Adapter zu entfernen.",Aplique una fuerza suave en la dirección opuesta para extraer la SSD del adaptador.,Appliquez une légère force dans la direction opposée pour retirer le SSD de l'adaptateur.,Applicare una leggera forza nella direzione opposta per rimuovere l'SSD dall'adattatore.,反対方向に軽く力を加えて、SSDをアダプターから取り外します。,Oefen lichte druk uit in de tegenovergestelde richting om de SSD uit de adapter te verwijderen.,"Zastosuj delikatny nacisk w przeciwnym kierunku, aby wyjąć SSD z adaptera.",Aplique força suave na direção oposta para remover o SSD do adaptador.,Applicera försiktigt tryck i motsatt riktning för att ta bort SSD:n från adaptern.,SSD'yi adaptörden çıkarmak için ters yönde hafif bir kuvvet uygulayın.,Tác dụng lực nhẹ theo hướng ngược lại để tháo SSD ra khỏi bộ chuyển đổi.,朝相反方向輕輕施力，將 SSD 從轉接卡上取下。,,,,,
,,,,,,,,,,,,,,,,,,,
,,One SSD to Rule Them All,Eine SSD für alle,Una SSD para gobernarlas a todas,Un seul SSD pour tous les usages,Una SSD per dominare tutti.,すべてを制する1台のSSD,De ene SSD die alles aankan,"Jeden dysk SSD, by wszystkimi rządzić",Um SSD para dominar todos os sistemas,En SSD för att härska över alla,Hepsi Bir Arada SSD,Đáp Ứng Mọi Mặt Chỉ Bằng Một SSD,一台 SSD，讓您掌控全局,,,,,
,,Up To Read,Lesen bis zu,Velocidad máx. de lectura,Jusqu'à,Lettura fino a,最大リード,Lezen tot,Odczyt do,Até,Upp till läs,Maks. Okuma,Tốc Độ Đọc Lên Đến,讀取速度高達,,,,,
,,7400MB/s*,7400 MB/s*,7400 MB/s*,7 400 Mo/s en lecture*,7400 MB/s*,7400MB/s*,7400 MB/s*,7400 MB/s*,7400 MB/s* de leitura,7 400 MB/s*,7400 MB/sn*,7400MB/giây*,7400MB/s*,,,,,
,,Up To Write,Schreiben bis zu,Velocidad máx. de escritura,Jusqu'à,Scrittura fino a,最大ライト,Schrijven tot,Zapis do,Até,Upp till skriv,Maks. Yazma,Tốc Độ Ghi Lên Đến,寫入速度高達,,,,,
,,6500MB/s*,6500 MB/s*,6500 MB/s*,6 500 Mo/s en écriture*,6500 MB/s*,6500MB/s*,6500 MB/s*,6500 MB/s*,6500 MB/s* de gravação,6 500 MB/s*,6500 MB/sn*,6500MB/giây*,6500MB/s*,,,,,
,,* Speeds based on internal testing. Actual performance may vary.,* Die Geschwindigkeitsangaben basieren auf internen Tests. Die tatsächliche Geschwindigkeit kann variieren.,* Velocidades basadas en pruebas internas. El rendimiento real puede variar.,*Vitesses basées sur des tests internes. Les performances réelles peuvent varier.,* Valori di velocità basati su test interni. Le prestazioni effettive possono variare.,*速度は社内テストに基づいています。実際のパフォーマンスは異なる場合があります。,* Snelheden gebaseerd op interne tests. Daadwerkelijke prestaties kunnen variëren.,* Prędkości uzyskane w testach wewnętrznych. Rzeczywiste wyniki mogą być inne.,* Velocidades baseadas em testes internos. O desempenho real pode variar.,* Hastigheter baserade på interna tester. Faktiska prestanda kan variera.,* Hızlar şirket içinde yapılan test sonuçlarına dayanır. Gerçek performans değişiklik gösterebilir.,* Tốc độ dựa trên quá trình thử nghiệm nội bộ. Hiệu năng thực tế có thể khác.,* 速度係依據內部測試的結果。實際效能可能有所不同。,,,,,
,,Faster Than PCIe 4.0 2230,Schneller als PCIe 4.0 2230,Más rápido que PCIe 4.0 2230,Plus rapide que le PCIe 4.0 2230,Più veloce dell'SSD PCIe 4.0 2230,PCIe 4.0 2230よりも高速,Sneller dan PCIe 4.0 2230,Większa prędkość niż PCIe 4.0 2230,Mais rápido que o PCIe 4.0 2230,Snabbare än PCIe 4.0 2230,PCIe 4.0 2230'dan Daha Hızlı,Nhanh Hơn PCIe 4.0 2230,比 PCIe 4.0 2230 更快速,,,,,
,,"Speeds up to 7400MB/s read and 6500MB/s* write give everyone instant load times, faster file transfers, and smoother editing.","Lesegeschwindigkeiten von bis zu 7400 MB/s und Schreibgeschwindigkeiten von bis zu 6500 MB/s ermöglichen sofortige Ladezeiten, schnellere Dateiübertragungen und eine reibungslosere Bearbeitung.","Las velocidades de lectura y escritura de hasta 7400 MB/s y 6500 MB/s* brindan a todo tipo de usuarios tiempos de carga instantáneos, transferencias de archivos más rápidas y una edición más fluida.","Avec des vitesses atteignant jusqu'à 7 400 Mo/s en lecture et 6 500 Mo/s en écriture, tout le monde bénéficie de temps de chargement instantanés, de transferts de fichiers plus rapides et d'une édition plus fluide.","Con una velocità fino a 7400 MB/s in lettura e 6500 MB/s* in scrittura, offre tempi di caricamento istantanei, trasferimenti di file più veloci e modifiche più fluide.",最大リード速度7400MB/sと最大ライト速度6500MB/sにより、誰もがすぐにロードでき、より高速にファイル転送可能で、編集もさらにスムーズに行えます。,"Met snelheden tot 7400 Mb/s bij lezen en 6500 MB/s* bij schrijven kan iedereen direct bestanden laden, bestanden sneller overbrengen en gemakkelijker bewerken.","Prędkość odczytu do 7400 MB/s i prędkość zapisu do 6500 MB/s* zapewniają błyskawiczne czasy ładowania, szybsze przesyłanie plików i płynniejszą edycję.","Velocidades de até 7400 MB/s de leitura e 6500 MB/s de gravação proporcionam carregamentos instantâneos, transferências de arquivos mais rápidas e uma edição mais fluida para todos.","Hastigheter på upp till 7 400 MB/s vid läsning och 6 500 MB/s vid skrivning ger alla omedelbar inläsning, snabbare filöverföring och smidigare redigering.","7400 MB/sn'ye varan okuma ve 6500 MB/sn'ye* varan yazma hızları; her kullanıcıya anında yükleme süreleri, daha hızlı dosya aktarımları ve daha sorunsuz düzenleme olanağı sağlar.","Tốc độ đọc lên đến 7400MB/giây và tốc độ ghi lên đến 6500MB/giây* cho phép tải dữ liệu tức thì, truyền tệp nhanh hơn và chỉnh sửa mượt hơn.",高達 7400MB/s 的讀取速度與 6500MB/s* 的寫入速度，讓您瞬間即可載入內容，享受更快的檔案傳輸與更流暢的編輯體驗。,,,,,
,,PLAY X PCIe 4.0 SSD,PLAY X PCIe 4.0 SSD,SSD PCIe 4.0 PLAY X,SSD PLAY X PCIe 4.0,SSD PLAY X PCIe 4.0,PLAY X PCIe 4.0 SSD,PLAY X PCIe 4.0 SSD,DYSK SSD PLAY X PCIe 4.0,PLAY X PCIe 4.0 SSD,PLAY X PCIe 4.0 SSD,PLAY X PCIe 4.0 SSD,Ổ Cứng SSD PLAY X PCIe 4.0,PLAY X PCIe 4.0 SSD,,,,,
,,read speed up to,Lesegeschwindigkeit bis zu,velocidad de lectura de hasta,vitesse de lecture allant jusqu'à,Velocità di lettura fino a,最大リード速度,leessnelheid tot,prędkość odczytu do,velocidade de leitura de até,läshastighet upp till,maks. okuma hızı,tốc độ đọc lên đến,讀取速度高達,,,,,
,,7400MB/s*,7400 MB/s*,7400 MB/s*,7 400 Mo/s*,7400 MB/s*,7400MB/s*,7400 MB/s*,7400 MB/s*,7400 MB/s*,7 400 MB/s*,7400 MB/sn*,7400MB/giây*,7400MB/s*,,,,,
,,PCIe 4.0 2230 SSD,PCIe 4.0 2230 SSD,SSD PCIe 4.0 2230,SSD PCIe 4.0 2230,SSD PCIe 4.0 2230,PCIe 4.0 2230 SSD,PCIe 4.0 2230 SSD,Dysk SSD PCIe 4.0 2230,PCIe 4.0 2230 SSD,PCIe 4.0 2230 SSD,PCIe 4.0 2230 SSD,Ổ Cứng SSD PCIe 4.0 2230,PCIe 4.0 2230 SSD,,,,,
,,read speed up to 5200MB/s*,Lesegeschwindigkeit bis zu 5200 MB/s,velocidad de lectura de hasta 5200 MB/s*,vitesse de lecture allant jusqu'à 5 200 Mo/s*,Velocità di lettura fino a 5200 MB/s*,最大リード速度5200MB/s*,leessnelheid tot 5200 MB/s*,prędkość odczytu do 5200 MB/s*,velocidade de leitura de até 5200MB/s*,läshastighet på upp till 5 200 MB/s*,5200 MB/sn'ye kadar okuma hızı*,tốc độ đọc lên đến 5200MB/giây*,讀取速度高達 5200MB/s*,,,,,
,,* Speeds based on internal testing. Actual performance may vary.,* Die Geschwindigkeitsangaben basieren auf internen Tests. Die tatsächliche Geschwindigkeit kann variieren.,* Velocidades basadas en pruebas internas. El rendimiento real puede variar.,*Vitesses basées sur des tests internes. Les performances réelles peuvent varier.,* Valori di velocità basati su test interni. Le prestazioni effettive possono variare.,*速度は社内テストに基づいています。実際のパフォーマンスは異なる場合があります。,* Snelheden gebaseerd op interne tests. Daadwerkelijke prestaties kunnen variëren.,* Prędkości uzyskane w testach wewnętrznych. Rzeczywiste wyniki mogą być inne.,* Velocidades baseadas em testes internos. O desempenho real pode variar.,* Hastigheter baserade på interna tester. Faktiska prestanda kan variera.,* Hızlar şirket içinde yapılan test sonuçlarına dayanır. Gerçek performans değişiklik gösterebilir.,* Tốc độ dựa trên quá trình thử nghiệm nội bộ. Hiệu năng thực tế có thể khác.,* 速度係依據內部測試的結果。實際效能可能有所不同。,,,,,
,,,,,,,,,,,,,,,,,,,
,,"Resistant to Water, Dust, and Shocks","Beständig gegen Wasser, Staub und Stöße","Resistente al agua, al polvo y a los golpes","Résistant à l'eau, à la poussière et aux chocs","Resistente ad acqua, polvere e urti",防水、防塵、耐衝撃性,"Bestand tegen water, stof en schokken","Odporność na wodę, kurz i wstrząsy","Resistente à água, poeira e choques","Tål vatten, damm och stötar","Suya, Toza ve Darbelere Karşı Dayanıklı","Chống Nước, Chống Bụi và Chống Sốc",防水、防塵、耐撞,,,,,
,,An integrated package module is engineered for superior durability and stability with safeguards against stress that come with hours of gaming or content editing.,"Das integrierte Paketmodul wurde für überragende Haltbarkeit und Stabilität entwickelt und schützt vor Belastungen, die durch stundenlanges Spielen oder Bearbeiten von Inhalten entstehen.","El módulo de paquete integrado está diseñado para ofrecer durabilidad y estabilidad superiores, con protección contra el estrés derivado de horas de juego o edición de contenido.","Le module à boîtier intégré est conçu pour offrir une durabilité et une stabilité exceptionnelles, avec une protection renforcée contre les contraintes liées aux longues sessions de gaming ou d'édition de contenu.","Il modulo di imballaggio integrato è progettato per garantire la massima durata e una stabilità superiore, salvaguardando il dispositivo dalle sollecitazioni dovute a ore di gioco o di editing di contenuti.",一体型パッケージモジュールは、ゲームやコンテンツの編集に伴うストレスへの対策となる優れた耐久性と安定性を実現した設計です。,"De geïntegreerde pakketmodule is ontworpen voor superieure duurzaamheid en stabiliteit, met bescherming tegen de belasting die ontstaat tijdens urenlang gamen of intensieve contentbewerking.",Zintegrowany moduł obudowy został zaprojektowany z myślą o najwyższej trwałości i stabilności. Zapewnia ochronę przed obciążeniami związanymi z wielogodzinnymi rozgrywkami lub edycją treści.,"Um módulo de pacote integrado foi projetado para oferecer durabilidade e estabilidade superiores, com proteções contra o estresse gerado por longas horas de jogos ou edição de conteúdo.",En integrerad paketmodul som är konstruerad för överlägsen hållbarhet och stabilitet med skydd mot belastning som uppstår efter timmar av spel eller redigering av innehåll.,"Entegre paket modülü, saatlerce oyun oynamanın veya içerik düzenlemenin neden olduğu strese karşı üstün dayanıklılık ve kararlılık sağlayacak şekilde tasarlanmıştır.",Mô-đun gói tích hợp được cấu tạo để mang đến độ bền và độ ổn định vượt trội với khả năng chống quá tải do chơi game hoặc chỉnh sửa nội dung trong nhiều giờ.,此整合式封裝模組經精心設計，具備優異的耐用性與穩定性，可耐受長時間遊戲或內容編輯所造成的壓力。,,,,,
,,,,,,,,,,,,,,,,,,,
,,Supports HMB and SLC Cache,Unterstützt HMB und SLC Cache,Admite HMB y caché SLC,Compatible HMB et cache SLC,Supporta la tecnologia HMB e la cache SLC,HMBとSLCキャッシュをサポート,Ondersteunt HMB en SLC-cache,Obsługa HMB i pamięci podręcznej SLC,Suporta HMB e cache SLC,Stöd för HMB och SLC-caching,HMB ve SLC Ön Belleği Destekler,Hỗ Trợ Bộ Nhớ Đệm HMB Và SLC,支援 HMB 和 SLC 快取,,,,,
,,"Host memory buffer (HMB) and single-level cell (SLC) cache technologies enable faster transfers and reduce latency to improve performance, game load times, and the overall user experience.","Host Memory Buffer (HMB)- und SLC Caching-Technologien ermöglichen schnellere Übertragungen und reduzieren die Latenz, um die Performance, die Ladezeiten und das Nutzererlebnis insgesamt zu verbessern.","Las tecnologías de búfer de memoria de host (HMB) y caché de celda de un solo nivel (SLC) permiten transferencias más rápidas y reducen la latencia para mejorar el rendimiento, los tiempos de carga de los juegos y la experiencia general del usuario.","Les technologies mémoire tampon de l'hôte (HMB) et cache à cellule à niveau unique (SLC) permettent des transferts plus rapides, une latence réduite et de meilleures performances globales, pour des chargements de jeux plus rapides et une expérience utilisateur optimisée.","La tecnologia HMB (Host Memory Buffer) e la cache SLC consentono trasferimenti più veloci e riducono la latenza, migliorando le prestazioni, i tempi di caricamento dei giochi e l'esperienza d'uso complessiva.",ホストメモリバッファ（HMB）とシングルレベルセル（SLC）キャッシュテクノロジーにより、高速転送とレイテンシの低減が可能になり、パフォーマンス、ゲームのロード時間、ユーザーエクスペリエンス全体を改善します。,"HMB- en SLC-cachetechnologieën maken snellere overdracht mogelijk en verminderen de latentie om de prestaties, de laadtijden van games en de algehele gebruikerservaring te verbeteren.","Technologie Host Memory Buffer (HMB) i Single-Level Cell (SLC) pamięci podręcznej umożliwiają szybsze przesyłanie danych oraz zmniejszają opóźnienia, zwiększając wydajność, skracając czas ładowania gier i poprawiając ogólny komfort użytkowania.","As tecnologias Host Memory Buffer (HMB) e cache de célula de nível único (SLC) permitem transferências mais rápidas e reduzem a latência, melhorando o desempenho, os tempos de carregamento de jogos e a experiência geral do usuário.","Teknikerna HMB (Host Memory Buffer) och SLC-caching (Single-Level Cell) möjliggör snabbare överföring och minskad latens för att förbättra prestanda, spelinläsningstider och den övergripande användarupplevelsen.","Host Memory Buffer (HMB) ve tek seviyeli hücre (SLC) ön bellek teknolojileri, daha hızlı aktarım sağlar ve performansı, oyun yükleme sürelerini ve genel kullanıcı deneyimini iyileştirmek için gecikmeyi azaltır.","Công nghệ bộ đệm của Host Memory Buffer (HMB) và Single-level Cell (SLC) cho phép truyền tệp nhanh hơn và giảm độ trễ để cải thiện hiệu năng, thời gian tải game và trải nghiệm tổng thể của người dùng.",主機記憶體緩衝區 (HMB) 和單層式單元 (SLC) 快取技術可加快傳輸速度並縮短延遲，進而提升效能、遊戲載入時間及整體使用者體驗。,,,,,
,,"Package Contents
SSD
Adapter
2230 Size Sticker
2280 Size Sticker","Packungsinhalt
SSD
Adapter
Aufkleber für 2230-Format
Aufkleber für 2280-Format","Contenido del paquete
SSD
Adaptador
Pegatina de tamaño 2230
Pegatina de tamaño 2280","Contenu de l'emballage
SSD
Adaptateur
Autocollant taille 2230
Autocollant taille 2280","Contenuto della confezione
SSD
Adattatore
Adesivo formato 2230
Adesivo formato 2280","パッケージ内容
SSD
アダプター
2230サイズステッカー
2280サイズステッカー","Inhoud van de verpakking
SSD
Adapter
2230-maatstickervorm
2280-maatstickervorm","Zawartość opakowania
SSD
Adapter
Naklejka rozmiaru 2230
Naklejka rozmiaru 2280","Conteúdo da embalagem
SSD
Adaptador
Adesivo de tamanho 2230
Adesivo de tamanho 2280","Förpackningens innehåll
SSD
Adapter
2230-storleksdekal
2280-storleksdekal","Paket İçeriği
SSD
Adaptör
2230 Boyut Etiketi
2280 Boyut Etiketi","Nội dung trong hộp
SSD
Bộ chuyển đổi
Nhãn dán kích thước 2230
Nhãn dán kích thước 2280","包裝內容
SSD
轉接卡
2230 尺寸貼紙
2280 尺寸貼紙",,,,,
,,Lexar DiskMaster,Lexware DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,Lexar DiskMaster,,,,,
,,Firmware upgrades,Firmware-Aktualisierungen,Actualizaciones de firmware,Mises à niveau du microprogramme,Aggiornamenti del firmware,ファームウェアアップグレード,Firmware-upgrades,Uaktualnianie oprogramowania sprzętowego,Upgrades de firmware,Uppgraderingar av firmware,Donanım yazılımı yükseltmeleri,Nâng cấp phần sụn,韌體升級,,,,,
,,Health monitoring,Statusüberwachung,Supervisión de estado,Surveillance de l'intégrité,Controllo dello stato di salute,健全性モニタリング,Statusmonitoring,Monitorowanie stanu,Monitoramento da integridade,Hälsokontroll,Durum takibi,Theo dõi tình trạng máy,健全度監控,,,,,
,,Performance optimization,Leistungsoptimierung,Optimización del rendimiento,Optimisation des performances,Ottimizzazione delle prestazioni,パフォーマンス最適化,Optimalisatie van prestaties,Optymalizacja działania,Otimização do desempenho,Prestandaoptimering,Performans optimizasyonu,Tối ưu hóa hiệu năng,效能最佳化,,,,,
,,Data security,Datensicherheit,Seguridad de los datos,Sécurité des données,Sicurezza dei dati,データセキュリティ,Gegevensbeveiliging,Bezpieczeństwo danych,Segurança de dados,Datasäkerhet,Veri güvenliği,Bảo mật dữ liệu,資料安全性,,,,,
,,,,,,,,,,,,,,,,,,,
,,5 Years Service,5 Jahre Service,5 años de servicio,5 ans de service,5 anni di assistenza,5年保証,5 jaar service,5-letni serwis,5 anos de serviço,5 års service,5 Yıl Servis,Bảo Hành 5 Năm,5 年保固,,,,,