Product Name,Category/Content Type,Picture,Source Language,German (Germany),Spanish (Spain,French (France),Italian (Italy),,,,,,,,,,,,
Lexar® microSD/SD USB-A/C Card Reader RW360,reader,,Double-Duty Fast Transfers on the Go,Schnelle Übertragung mit 2 Karten,Transferencias rápidas y versátiles en cualquier lugar,Double usage Transferts rapides en déplacement,Trasferimenti veloci a doppia funzione in viaggio,,,,,,,,,,,,
,,,Lexar® microSD/SD USB-A/C Card Reader RW360,Lexar® microSD/SD USB-A/C-Kartenleser RW360,Lector de tarjetas microSD/SD USB-A/C Lexar® RW360,Lecteur de cartes Lexar® microSD/SD USB-A/C RW360,Lettore di schede microSD/SD USB-A/C RW360 Lexar®,,,,,,,,,,,,
,,,Read Speed up to,Lesegeschwindigkeit bis zu,Velocidad de lectura de hasta,Vitesse de lecture allant jusqu'à,Velocità di lettura fino a,,,,,,,,,,,,
,,,"2 Cards Work Simultaneously
",2 Karten funktionieren gleichzeitig,Admite 2 tarjetas simultáneamente,Lecture simultanée de 2 cartes,Utilizzo simultaneo di 2 schede,,,,,,,,,,,,
,,,USB-A/C 2-in-1,USB-A/C 2-in-1,USB-A/C 2 en 1,USB-A/C 2-en-1,USB-A/C 2-in-1,,,,,,,,,,,,
,,,Support Cards up to,Unterstützt Karten bis zu,Admite tarjetas de hasta,Prise en charge de cartes jusqu'à,Supporta schede fino a,,,,,,,,,,,,
,,,"Blazing-fast Transfers Anytime, Anywhere",Blitzschnelle übertragung – jederzeit und überall,Transferencias ultrarrápidas en cualquier momento y lugar,"Des transferts ultra-rapides, où que vous soyez","Velocità di trasferimento super, sempre e ovunque",,,,,,,,,,,,
,,,USB 3.2 Gen 1 technology lets you quickly transfer even large files with read speeds up to 255MB/s¹ when paired with the Lexar SILVER PLUS SDXC™ card and up to 225MB/s¹ when paired with the Lexar SILVER SDXC card – accelerating your workflow to 245% faster².,Mit Lesegeschwindigkeiten von bis zu 255 MB/s¹ in Verbindung mit der Lexar SILVER PLUS SDXC™-Karte und bis zu 225 MB/s¹ in Verbindung mit der Lexar SILVER SDXC-Karte können Sie mit der USB 3.2 Gen 1-Technologie selbst große Dateien schnell übertragen und Ihren Workflow um 245 % beschleunigen².,"La tecnología USB 3.2 Gen 1 permite transferir rápidamente incluso archivos grandes con velocidades de lectura de hasta 255 MB/s¹ al usar la tarjeta SDXC™ Lexar SILVER PLUS y de hasta 225 MB/s¹ al usar la Lexar SILVER, lo que acelera tu flujo de trabajo hasta un 245 %².","La technologie USB 3.2 Gen 1 permet un transfert rapide, même de fichiers volumineux, avec des vitesses de lecture allant jusqu'à 255 Mo/s¹ avec la carte Lexar SILVER PLUS SDXC™, et jusqu'à 225 Mo/s¹ avec la carte Lexar SILVER SDXC, ainsi votre flux de travail est jusqu'à 245 % plus rapide².","La tecnologia USB 3.2 Gen 1 consente di trasferire rapidamente anche file di grandi dimensioni con velocità di lettura fino a 255 MB/s¹ se associata alla scheda Lexar SILVER PLUS SDXC™ e fino a 225 MB/s¹ se associata alla scheda Lexar SILVER SDXC, accelerando il flusso di lavoro fino al 245% in più rispetto alla velocità standard².",,,,,,,,,,,,
,,,Read speed increase 245%,Erhöhung der Lesegeschwindigkeit um 245 %,Aumento de la velocidad de lectura del 245 %,Augmentation de la vitesse de lecture de 245 %,Aumento della velocità di lettura del 245%,,,,,,,,,,,,
,,,SD/TF4.0   255MB/s,SD/TF4.0 255MB/s,SD/TF4.0: 255 MB/s,SD/TF4.0 255 Mo/s,SD/TF4.0 255 MB/s,,,,,,,,,,,,
,,,SD/TF3.0   104MB/s,SD/TF3.0 104MB/s,SD/TF3.0: 104 MB/s,SD/TF3.0 104 Mo/s,SD/TF3.0 104 MB/s,,,,,,,,,,,,
,,,*Results may vary based on system configuration and card speed.,* Die Ergebnisse können je nach Systemkonfiguration und Kartengeschwindigkeit variieren.,* Los resultados pueden variar según la configuración del sistema y la velocidad de la tarjeta.,Les résultats peuvent varier selon la configuration du système et la vitesse de la carte.,* I risultati possono variare in base alla configurazione del sistema e alla velocità della scheda.,,,,,,,,,,,,
,,,"*UHS-I SD card maximum read speed is 104MB/s, but with the reader leverages special technology to increase read speed to as much as 255MB/s when paired with our UHS-I SILVER PLUS SD cards.","* Die maximale Lesegeschwindigkeit einer UHS-I SD-Karte beträgt 104 MB/s, aber mit dem Lesegerät, das eine spezielle Technologie nutzt, kann die Lesegeschwindigkeit in Verbindung mit unseren UHS-I SILVER PLUS SD-Karten auf bis zu 255 MB/s gesteigert werden.","* La velocidad máxima de lectura de la tarjeta SD UHS-I es de 104 MB/s, pero el lector aprovecha una tecnología especial que alcanza los 255 MB/s al combinarlo con nuestras tarjetas SD UHS-I SILVER PLUS.","*La vitesse de lecture maximale d'une carte SD UHS-I est de 104 Mo/s, mais grâce à une technologie spéciale intégrée au lecteur, cette vitesse peut atteindre jusqu'à 255 Mo/s lorsqu'il est utilisé avec nos cartes SD UHS-I SILVER PLUS.","* La velocità massima di lettura della scheda SD UHS-I è di 104 MB/s, ma con il lettore sfrutta una tecnologia speciale per aumentare la velocità di lettura fino a 255 MB/s se associato alle nostre schede SD UHS-I SILVER PLUS.",,,,,,,,,,,,
,,,Simultaneously Offload Two Cards,Gleichzeitig zwei Karten lesen,Descarga simultánea de dos tarjetas,Transférez deux cartes simultanément,Scaricamento simultaneo di due carte,,,,,,,,,,,,
,,,"With an SD card slot and a microSD card slot, you can transfer files off two cards at the same time—plus the reader support cards up to 2TB.",Mit einem SD-Kartensteckplatz und einem microSD-Kartensteckplatz können Sie Dateien von zwei Karten gleichzeitig übertragen – und das Lesegerät unterstützt Karten bis zu 2 TB.,"Con una ranura para tarjeta SD y otra para microSD, puedes transferir archivos de dos tarjetas de hasta 2 TB simultáneamente.","Grâce à un emplacement pour carte SD et un emplacement pour carte microSD, vous pouvez transférer simultanément des fichiers depuis deux cartes. De plus, le lecteur prend en charge des cartes allant jusqu'à 2 To.","Grazie allo slot per scheda SD e allo slot per scheda microSD, è possibile trasferire i file da due schede contemporaneamente. Inoltre, il lettore supporta schede fino a 2 TB.",,,,,,,,,,,,
,,,Support Cards up to 2TB,Unterstützt Karten bis zu 2 TB,Admite tarjetas de hasta 2 TB,Prend en charge des cartes allant jusqu'à 2 To,Supporta schede fino a 2 TB,,,,,,,,,,,,
,,,Works with Type C and Type A Devices,Funktioniert mit Typ-C- und Typ-A-Geräten,Admite dispositivos tipo C y A,Compatible avec les appareils Type C et Type A,Funziona con dispositivi di tipo C e di tipo A,,,,,,,,,,,,
,,,"Dual connectors ensure wide compatibility with computers and mobile devices with no extra cables, drivers, or app downloads needed.","Zwei Anschlüsse sorgen für umfassende Kompatibilität mit Computern und Mobilgeräten, ohne dass zusätzliche Kabel, Treiber oder App-Downloads erforderlich sind.","El conector doble garantiza amplia compatibilidad con ordenadores y dispositivos móviles sin necesidad de cables, controladores ni aplicaciones complementarios.","Les connecteurs doubles assurent une large compatibilité avec les ordinateurs et appareils mobiles, sans câbles supplémentaires, pilotes ou applications à installer.","I doppi connettori garantiscono un'ampia compatibilità con computer e dispositivi mobili senza bisogno di cavi, driver o download aggiuntivi di app.",,,,,,,,,,,,
,,,Ideal Partner for Your Trip,Ihr idealer Reisepartner,El compañero ideal para tus viajes,Le compagnon idéal pour vos déplacements,Il compagno di viaggio ideale,,,,,,,,,,,,
,,,Read and share your photos & videos more easily than ever before,Lesen und teilen Sie Ihre Fotos und Videos einfacher als je zuvor,Lee y comparte tus fotos y vídeos más fácilmente que nunca,Lisez et partagez vos photos et vidéos plus facilement que jamais,Leggere e condividere foto e video è ancora più semplice,,,,,,,,,,,,
,,,Accelerate Your Workflow,Beschleunigen Sie Ihren Arbeitsablauf,Acelera tu flujo de trabajo,Accélérez votre flux de travail,Accelera il tuo flusso di lavoro,,,,,,,,,,,,
,,,Transfer large files on a tablet seamlessly,Übertragen Sie große Dateien nahtlos auf ein Tablet,Transfiere archivos grandes de una tablet sin problemas,Transférez facilement des fichiers volumineux sur une tablette,Trasferisci agevolmente file di grandi dimensioni su un tablet,,,,,,,,,,,,
,,,"Drive, Record, Watch","Fahren, aufzeichnen, anschauen","Conduce, graba y visualiza","Conduisez, enregistrez, visionnez","Guida, registra, guarda",,,,,,,,,,,,
,,,View dashcam videos on your phone instantly,Sehen Sie sich Dashcam-Videos sofort auf Ihrem Smartphone an,Ve los vídeos de tu cámara de salpicadero en el teléfono al instante,Visionnez instantanément les vidéos de votre dashcam sur votre téléphone,Guarda subito i video della dashcam sul tuo telefono,,,,,,,,,,,,
,,,IP Camera Monitoring,IP-Kamera-überwachung,Monitorización con cámaras IP,Surveillance par caméra IP,Monitoraggio telecamera IP,,,,,,,,,,,,
,,,Instant access to IP camera videos,Sofortiger Zugriff auf IP-Kamera-Videos,Acceso instantáneo a vídeos de cámaras IP,Accédez instantanément aux vidéos de votre caméra IP,Accesso immediato ai video della telecamera IP,,,,,,,,,,,,
,,,Stylish Portable Design,"Stilvolles, tragbares Design",Diseño portátil y elegante,Design portable et élégant,Design elegante e portatile,,,,,,,,,,,,
,,,"Precision-textured finish for anti-slip grip and durability in a small, portable design that easily fits in your camera bag or pocket.","Die für Präzision strukturierte Oberfläche sorgt für rutschfesten Halt und Strapazierfähigkeit in einem kleinen, tragbaren Design, das einfach in Ihre Kameratasche oder Tasche passt.",El acabado texturizado de precisión favorece un agarre antideslizante y garantiza la durabilidad en un diseño compacto y portátil que cabe cómodamente en la bolsa de la cámara o un bolsillo.,"Finition texturée de précision pour une prise antidérapante et une durabilité accrue, dans un format compact et portable qui se glisse facilement dans votre sac pour appareil photo ou votre poche.",Finitura con texture di precisione per una presa antiscivolo e una maggiore durabilità in un design compatto e portatile che si inserisce facilmente nella custodia della fotocamera o in tasca.,,,,,,,,,,,,
,,,Interface Protection for Durability,Schnittstellenschutz für Langlebigkeit,Protección de la interfaz para mayor durabilidad,Protection de l'interface pour une meilleure durabilité,Protezione dell'interfaccia per una maggiore durabilità,,,,,,,,,,,,
,,,"Features oxidation-resistant, nickel-plated interfaces. ","Mit oxidationsbeständigen, vernickelten Schnittstellen.",Cuenta con interfaces niqueladas resistentes a la oxidación.,Doté d'interfaces nickelées résistantes à l'oxydation.,Interfacce nichelate resistenti all'ossidazione.,,,,,,,,,,,,
,,,"Rigorously tested with 10,000 insertions/extractions and constructed with quality materials to ensure smooth plugging and unplugging, an enduring snug fit, and stable reading for the life of the drive.","Gründlich getestet mit 10.000 Steck- und Entnahmevorgängen und aus hochwertigen Materialien gefertigt, um ein reibungsloses Stecken und Entnehmen, einen dauerhaften festen Sitz und ein stabiles Lesen während der gesamten Lebensdauer des Laufwerks zu gewährleisten.","Se ha probado rigurosamente con 10 000 inserciones y extracciones, y está fabricado con materiales de calidad para garantizar una conexión y desconexión sin problemas, un ajuste cómodo y duradero y una lectura estable durante toda su vida útil.","Testé rigoureusement avec 10 000 insertions/extractions, et conçu avec des matériaux de qualité pour garantir une connexion fluide, un ajustement précis et durable, ainsi qu’une lecture stable tout au long de la durée de vie du lecteur.","Rigorosamente testato con 10.000 inserimenti/rimozioni e realizzato con materiali di qualità per garantire un inserimento e uno scollegamento agevoli, una perfetta aderenza e una lettura stabile per tutta la durata dell'unità.",,,,,,,,,,,,
,,,1000 Insertions/Extractions,10.000 Steck- und Entnahmevorgänge,10 000 inserciones y extracciones,10 000 insertions/extractions,10.000 inserimenti/rimozioni,,,,,,,,,,,,
,,,Compatible with Multiple Devices,Kompatibel mit mehreren Geräten,Compatible con múltiples dispositivos,Compatible avec plusieurs appareils,Compatibile con vari dispositivi,,,,,,,,,,,,
,,,Supports SD 3.0 and Compatible with Various Memory Cards,Unterstützt SD 3.0 und ist mit verschiedenen Speicherkarten kompatibel,Compatible con SD 3.0 y diversas tarjetas de memoria,Prise en charge de la norme SD 3.0 et compatibilité avec de nombreuses cartes mémoire,Supporta SD 3.0 ed è compatibile con varie schede di memoria,,,,,,,,,,,,
,,,SD Card：Camera，Drone，Actioncam，Dashcam ,SD-Karte：Kamera，Drohne，Actioncam，Dashcam,"Tarjeta SD: cámaras, drones, cámaras de acción, cámaras de salpicadero","Carte SD : appareil photo, drone, actioncam, dashcam","Scheda SD: fotocamera, drone, actioncam, dashcam",,,,,,,,,,,,
,,,microSD Card：Mobile Phone，Tablet， Gaming Console，IP Camera,microSD-Karte：Mobiltelefon，Tablet， Spielkonsole，IP-Kamera,"Tarjeta microSD: móviles, tablets, videoconsolas, cámaras IP","Carte microSD : téléphone portable, tablette, console de jeu, caméra IP","Scheda microSD: telefono cellulare, tablet, console di gioco, telecamera IP",,,,,,,,,,,,
,,,"Compatible with Multiple Devices









Mobile Phone，Computer，Tablet，Docking station

Compatible with Multiple Systems

Mac OS 10.8+，Windows 11/10/8/7，Android 11+","Kompatibel mit mehreren Geräten Mobiltelefon，Computer，Tablet，Dockingstation Kompatibel mit mehreren Systemen Mac OS 10,8+，Windows 11/10/8/7，Android 11+","Admite múltiples dispositivos móviles, ordenadores, tablets y estaciones de acoplamiento Compatible con diversos sistemas operativos: Mac OS 10.8 o superior, Windows 11/10/8/7, Android 11 o superior","Compatible avec de nombreux appareils Téléphone portable, Ordinateur, Tablette, Station d'accueil Compatible avec plusieurs systèmes Mac OS 10.8+, Windows 11/10/8/7, Android 11+","Compatibile con vari dispositivi: telefono cellulare, computer, tablet, docking station compatibile con sistemi multipli Mac OS 10.8+, Windows 11/10/8/7, Android 11+",,,,,,,,,,,,
,,,Mobile Phone，Computer，Tablet，Docking station,Mobiltelefon，Computer，Tablet，Dockingstation,"Móviles, ordenadores, tablets, estaciones de acoplamiento",Téléphone portable，Ordinateur，Tablette，Station d'accueil,"Telefono cellulare, computer, tablet, docking station",,,,,,,,,,,,
,,,Compatible with Multiple Systems,Kompatibel mit mehreren Systemen,Compatible con múltiples sistemas operativos,Compatible avec plusieurs systèmes,Compatibile con vari sistemi,,,,,,,,,,,,
,,,Mac OS 10.8+，Windows 11/10/8/7，Android 11+,"Mac OS 1.,8+，Windows 11/10/8/7，Android 11+","Mac OS 10.8 o superior, Windows 11/10/8/7, Android 11 o superior","Mac OS 10.8+, Windows 11/10/8/7, Android 11+","Mac OS 10.8+, Windows 11/10/8/7, Android 11+",,,,,,,,,,,,
,,,Rigorously Tested,Rigoros getestet,Rigurosamente probada,Testé de façon rigoureuse,Rigorosamente testato,,,,,,,,,,,,
,,,"All Lexar products undergo extensive testing in the Lexar Quality Labs, facilities with thousands of different cameras and digital devices to ensure performance, quality, compatibility, and reliability.","Alle Lexar Produkte werden in den Lexar Quality Labs mit Tausenden von verschiedenen Kameras und digitalen Geräten ausgiebig getestet, um Leistung, Qualität, Kompatibilität und Zuverlässigkeit zu gewährleisten.","Todos los productos Lexar se someten a amplias pruebas en Laboratorios de calidad Lexar, instalaciones con miles cámaras y dispositivos digitales, para garantizar el rendimiento, la calidad, la compatibilidad y la fiabilidad.","Tous les produits Lexar sont soumis à des tests approfondis dans les laboratoires de qualité Lexar, sur des milliers de caméras et d'appareils numériques différents, afin d'assurer les performances, la qualité, la compatibilité et la fiabilité.","Tutti i prodotti Lexar sono sottoposti a test approfonditi nei laboratori di qualità Lexar, strutture con migliaia di fotocamere e dispositivi digitali, per garantire prestazioni, qualità, compatibilità e affidabilità.",,,,,,,,,,,,
,,,Transfer files fast with USB 3.2 Gen 1 technology   ,übertragen Sie Dateien schnell mit der USB 3.2 Gen 1-Technologie,Transfiere archivos rápidamente con la tecnología USB 3.2 Gen 1,Transférez des fichiers rapidement grâce à la technologie USB 3.2 Gen 1,Trasferimento veloce dei file con la tecnologia USB 3.2 Gen 1,,,,,,,,,,,,
,,,Read Speed up to 255MB/s,Lesegeschwindigkeit bis zu 255 MB/s,Velocidad de lectura de hasta 255 MB/s,Vitesse de lecture allant jusqu'à 255 Mo/s,Velocità di lettura fino a 255 MB/s,,,,,,,,,,,,
,,,*Results may vary based on system configuration and card speed.,* Die Ergebnisse können je nach Systemkonfiguration und Kartengeschwindigkeit variieren,* Los resultados pueden variar según la configuración del sistema y la velocidad de la tarjeta.,Les résultats peuvent varier selon la configuration du système et la vitesse de la carte.,* I risultati possono variare in base alla configurazione del sistema e alla velocità della scheda.,,,,,,,,,,,,
,,,Pair with Lexar SILVER PLUS and SILVER SDXC cards to accelerating your workflow to up to 245% faster,"Verwenden Sie Lexar SILVER PLUS- und SILVER SDXC-Karten, um Ihren Workflow um bis zu 245 % zu beschleunigen",Combínalo con las tarjetas SDXC Lexar SILVER y SILVER PLUS para acelerar tu flujo de trabajo hasta en un 245 %,Associez le lecteur aux cartes Lexar SILVER PLUS et SILVER SDXC pour des flux de travail jusqu'à 245 % plus rapides,Abbinalo alle schede Lexar SILVER PLUS e SILVER SDXC per accelerare il flusso di lavoro fino al 245% in più rispetto alla velocità standard.,,,,,,,,,,,,
,,,Read speed increase 245%,Erhöhung der Lesegeschwindigkeit um 245 %,Aumento de la velocidad de lectura del 245 %,Augmentation de la vitesse de lecture de 245 %,Aumento della velocità di lettura del 245%,,,,,,,,,,,,
,,,SD/TF4.0   255MB/s,SD/TF4.0 255MB/s,SD/TF4.0: 255 MB/s,SD/TF4.0 255 Mo/s,SD/TF4.0 255 MB/s,,,,,,,,,,,,
,,,SD/TF3.0   104MB/s,SD/TF3.0 104MB/s,SD/TF3.0: 104 MB/s,SD/TF3.0 104 Mo/s,SD/TF3.0 104 MB/s,,,,,,,,,,,,
,,,"*UHS-I SD card maximum read speed is 104MB/s, but with the reader leverages special technology to increase read speed to as much as 255MB/s when paired with our UHS-I SILVER PLUS SD cards.","* Die maximale Lesegeschwindigkeit einer UHS-I SD-Karte beträgt 104 MB/s, aber mit dem Lesegerät, das eine spezielle Technologie nutzt, kann die Lesegeschwindigkeit in Verbindung mit unseren UHS-I SILVER PLUS SD-Karten auf bis zu 255 MB/s gesteigert werden.","* La velocidad máxima de lectura de la tarjeta SD UHS-I es de 104 MB/s, pero el lector aprovecha una tecnología especial que alcanza los 255 MB/s al combinarlo con nuestras tarjetas SD UHS-I SILVER PLUS.","*La vitesse de lecture maximale d'une carte SD UHS-I est de 104 Mo/s, mais grâce à une technologie spéciale intégrée au lecteur, cette vitesse peut atteindre jusqu'à 255 Mo/s lorsqu'il est utilisé avec nos cartes SD UHS-I SILVER PLUS.","* La velocità massima di lettura della scheda SD UHS-I è di 104 MB/s, ma con il lettore sfrutta una tecnologia speciale per aumentare la velocità di lettura fino a 255 MB/s se associato alle nostre schede SD UHS-I SILVER PLUS.",,,,,,,,,,,,
,,,Simultaneously offload an SD card and a microSD card,Lesen Sie gleichzeitig eine SD-Karte und eine microSD-Karte,Descarga simultáneamente una tarjeta SD y una microSD,Transférez simultanément une carte SD et une carte microSD,Scaricamento simultaneo di una scheda SD e una scheda microSD,,,,,,,,,,,,
,,,Compatible with cards up to 2TB,Kompatibel mit Karten bis zu 2 TB,Admite tarjetas de hasta 2 TB,Compatible avec les cartes allant jusqu'à 2 To,Compatibile con schede fino a 2 TB,,,,,,,,,,,,
,,,Type C and Type A connectors ensure wide compatibility with many devices,Typ-C- und Typ-A-Anschlüsse gewährleisten eine breite Kompatibilität mit vielen Geräten,Los conectores tipo C y tipo A garantizan amplia compatibilidad con todo tipo de dispositivos,Les connecteurs Type C et Type A garantissent une large compatibilité avec de nombreux appareils,I connettori di tipo C e di tipo A garantiscono un'ampia compatibilità con molti dispositivi,,,,,,,,,,,,
,,,SD Card：Camera，Drone，Actioncam，Dashcam ,SD-Karte：Kamera，Drohne，Actioncam，Dashcam,"Tarjeta SD: cámaras, drones, cámaras de acción, cámaras de salpicadero","Carte SD : appareil photo, drone, actioncam, dashcam","Scheda SD: fotocamera, drone, actioncam, dashcam",,,,,,,,,,,,
,,,microSD Card：Mobile Phone，Tablet， Gaming Console，IP Camera,microSD-Karte：Mobiltelefon，Tablet， Spielkonsole，IP-Kamera,"Tarjeta microSD: móviles, tablets, videoconsolas, cámaras IP","Carte microSD : téléphone portable, tablette, console de jeu, caméra IP","Scheda microSD: telefono cellulare, tablet,  console di gioco, telecamera IP",,,,,,,,,,,,
,,,"Stylish, portable design easily fits in your camera bag or pocket","Das stilvolle, tragbare Design passt problemlos in Ihre Kameratasche oder Tasche",Diseño elegante y portátil que cabe cómodamente en la bolsa de la cámara o un bolsillo,"élégant et portable, il se glisse facilement dans votre sac pour appareil photo ou votre poche",Design elegante e portatile che si inserisce facilmente nella custodia della fotocamera o in tasca.,,,,,,,,,,,,
,,,"Playback & Share, All in a Flash",Wiedergabe und teilen – alles in einem,Reproduce y comparte al instante,Lecture et partage instantanés,"Riproduci e condividi, tutto in un attimo",,,,,,,,,,,,